iter	Passed	Remaining
766	23745	7213
767	23777	7182
768	23807	7151
769	23839	7121
770	23870	7089
771	23898	7058
772	23937	7029
773	24013	7011
774	24105	6998
775	24170	6977
776	24212	6949
777	24251	6920
778	24288	6890
779	24321	6859
780	24354	6829
781	24392	6799
782	24427	6769
783	24465	6740
784	24501	6710
785	24540	6681
786	24581	6652
787	24623	6624
788	24653	6593
789	24683	6561
790	24716	6530
791	24749	6499
792	24786	6470
793	24819	6439
794	24852	6408
795	24889	6378
796	24922	6347
797	24954	6316
798	24988	6286
799	25021	6255
800	25053	6224
801	25090	6194
802	25123	6163
803	25154	6132
804	25191	6102
805	25224	6071
806	25256	6040
807	25289	6009
808	25321	5978
809	25352	5946
810	25383	5915
811	25416	5884
812	25446	5853
813	25476	5821
814	25505	5789
815	25534	5757
816	25562	5725
817	25590	5693
818	25619	5662
819	25646	5629
820	25676	5598
821	25706	5566
822	25735	5534
823	25765	5503
824	25794	5471
825	25823	5439
826	25851	5407
827	25882	5376
828	25915	5345
829	25945	5314
830	25976	5282
831	26011	5252
832	26043	5221
833	26076	5190
834	26112	5159
835	26143	5128
836	26177	5097
837	26211	5067
838	26247	5036
839	26284	5006
840	26320	4976
841	26351	4944
842	26381	4913
843	26412	4881
844	26445	4851
845	26473	4819
846	26505	4787
847	26534	4756
848	26560	4724
849	26590	4692
850	26619	4660
851	26661	4631
852	26706	4602
853	26752	4573
854	26799	4544
855	26840	4515
856	26873	4484
857	26904	4452
858	26933	4421
859	26962	4389
860	26991	4357
861	27020	4325
862	27048	4293
863	27085	4263
864	27117	4232
865	27147	4200
866	27177	4169
867	27207	4137
868	27238	4106
869	27268	4074
870	27298	4043
871	27328	4011
872	27360	3980
873	27391	3948
874	27419	3917
875	27448	3885
876	27476	3853
877	27505	3821
878	27534	3790
879	27562	3758
880	27589	3726
881	27625	3695
882	27656	3664
883	27686	3633
884	27714	3601
885	27743	3569
886	27774	3538
887	27803	3506
888	27832	3475
889	27860	3443
890	27889	3411
891	27915	3379
892	27944	3348
893	27972	3316
894	28002	3285
895	28032	3253
896	28061	3222
897	28093	3191
898	28124	3159
899	28155	3128
900	28192	3097
901	28221	3066
902	28251	3034
903	28280	3003
904	28310	2971
905	28340	2940
906	28368	2908
907	28398	2877
908	28427	2845
909	28456	2814
910	28484	2782
911	28512	2751
912	28541	2719
913	28571	2688
914	28600	2656
915	28628	2625
916	28658	2593
917	28689	2562
918	28719	2531
919	28747	2499
920	28777	2468
921	28805	2436
922	28835	2405
923	28864	2374
924	28893	2342
925	28921	2311
926	28950	2279
927	28983	2248
928	29013	2217
929	29044	2186
930	29073	2154
931	29102	2123
932	29133	2092
933	29164	2060
934	29195	2029
935	29226	1998
936	29256	1967
937	29287	1935
938	29317	1904
939	29348	1873
940	29377	1841
941	29406	1810
942	29436	1779
943	29464	1747
944	29496	1716
945	29525	1685
946	29555	1654
947	29583	1622
948	29611	1591
949	29639	1559
950	29670	1528
951	29697	1497
952	29726	1466
953	29755	1434
954	29785	1403
955	29813	1372
956	29841	1340
957	29869	1309
958	29895	1278
959	29923	1246
960	29952	1215
961	29981	1184
962	30010	1153
963	30039	1121
964	30069	1090
965	30099	1059
966	30130	1028
967	30163	997
968	30201	966
969	30239	935
970	30276	904
971	30305	873
972	30337	841
973	30366	810
974	30395	779
975	30424	748
976	30454	716
977	30483	685
978	30512	654
979	30541	623
980	30570	592
981	30599	560
982	30627	529
983	30657	498
984	30687	467
985	30716	436
986	30744	404
987	30772	373
988	30801	342
989	30827	311
990	30855	280
991	30883	249
992	30912	217
993	30942	186
994	30972	155
995	31001	124
996	31030	93
997	31061	62
998	31092	31
999	31122	0
